fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set D,model,completed,,Censorship of vaccine-related discussions is prevalent in media and public health communications.,pillar_support,endorsed,Article voice,high,U0062 to U0156,Pillar 2: Censorship and Gatekeeping,U0062 | U0156,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The claims made by public health authorities about vaccines are often based on flawed data.,thesis,endorsed,Article voice,high,U0001,Pillar 3: Vaccine Efficacy,U0001,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Vaccines are not tested as rigorously as other medications.,pillar_support,endorsed,Article voice,medium,U0401,Pillar 3: Vaccine Efficacy,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The increase in vaccine mandates correlates with a rise in public skepticism about vaccines.,pillar_support,endorsed,Article voice,medium,U0404,Pillar 2: Censorship and Gatekeeping,U0404,"[U0404] Efforts to rein in pharma’s capture of health agencies, medical groups and the vaccine narrative are causing a pitched battle, and the institutions entrenched in the religion of vaccines are doubling down to maintain their control.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The narrative that vaccines are a modern medical miracle is a belief held by a small group of fervent supporters.,pillar_support,endorsed,Aaron Siri,medium,U0023,Pillar 2: Censorship and Gatekeeping,U0023,"[U0023] • The “Vaccines Amen” crowd. For these believers , the story that vaccines are a modern medical miracle — safe and effective! — is a sacred cow. “This is the group of parents, doctors and public health professionals—a small army of them—who have a fervent belief in vaccines,” says Siri. “When these beliefs are challenged, this crowd gets angry.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The CDC has manipulated data linking the MMR vaccine to autism.,pillar,endorsed,the article voice,high,MMR vaccine and autism correlation,Pillar 1: Vaccine Safety Concerns,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,"Aluminum in vaccines is linked to various health issues, including autism and SIDS.",pillar,endorsed,the article voice,high,Health issues related to aluminum in vaccines,Pillar 1: Vaccine Safety Concerns,U0255 | U0396,"[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]
[U0396] At the core of the vaccine narrative, the notion that a vaccine only contains a small amount of virus, bacteria or other antigen in a neutral solution to mimic natural disease is a fairy tale.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,"Thimerosal, a mercury-based preservative, is neurotoxic and linked to autism.",pillar,endorsed,the article voice,high,Neurotoxic effects of thimerosal in vaccines,Pillar 1: Vaccine Safety Concerns,U0300 | U0366,"[U0300] THE FACTS / MERCURY:
[U0366] He further notes that studies that denied a risk were nearly always generated by the groups promoting vaccination, rarely by independent researchers.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers.,pillar,endorsed,the article voice,medium,Legal protections for vaccine manufacturers,Pillar 1: Vaccine Safety Concerns,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Public health authorities have suppressed information about vaccine risks.,pillar,endorsed,the article voice,high,Suppression of vaccine risk information,Pillar 4: Censorship and Information Suppression,U0062 | U0156,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Vaccines are not tested more rigorously than other medicines.,opponent_claim,opponent_to_rebut,the article voice,high,Testing rigor of vaccines compared to other medicines,Pillar 2: Vaccine Efficacy and Testing,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The rise in vaccine exemptions reflects growing public concern about vaccine safety.,pillar,endorsed,the article voice,medium,Trends in vaccine exemptions,Pillar 3: Vaccine Exemptions and Hesitancy,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Parents who choose not to vaccinate are often highly educated and scientifically literate.,pillar,endorsed,the article voice,medium,Demographics of vaccine-hesitant parents,Pillar 3: Vaccine Exemptions and Hesitancy,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,Censorship of vaccine-related information is prevalent in media and public health discussions.,pillar,endorsed,the article voice,high,Censorship in media regarding vaccines,Pillar 4: Censorship and Information Suppression,U0062 | U0156,"[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0156] Once again, allowing people to consider varied perspectives and then make up their own minds was not permitted.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The childhood vaccination schedule has increased significantly since the 1986 Act.,pillar,endorsed,the article voice,medium,Changes in vaccination schedules over time,Pillar 1: Vaccine Safety Concerns,U0080,[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.,,,,,,,,,,,,,,,,,
CF1-F03,1,Set E,model,completed,,The claims made by public health authorities about vaccines are often based on outdated or manipulated data.,pillar,endorsed,the article voice,high,Validity of public health claims about vaccines,Pillar 2: Vaccine Efficacy and Testing,U0344,"[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",,,,,,,,,,,,,,,,,
