fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,2,Profile J,host_pillar_backfill,completed,,"There has been a rise in the rate of parents seeking vaccine exemptions for their children, coinciding with a decline in vaccination rates.",pillar,unclear,article,high,"There has been a rise in the rate of parents seeking vaccine exemptions for their children, coinciding with a decline in vaccination rates.",Vaccine Exemptions,U0013 | U0014,"[U0013] The health department’s ad comes at a time when childhood vaccination rates are dropping steadily across the country.
[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",substantive,"There has been a rise in the rate of parents seeking vaccine exemptions for their children, coinciding with a decline in vaccination rates.","Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",The correlation between vaccine exemptions and vaccination rates is contested.,Data showing an increase in vaccine exemption requests alongside a decrease in vaccination rates.,Data showing no significant change in vaccine exemption requests despite declining vaccination rates.,Evidence indicating that the rise in exemptions is limited to specific regions or demographics.,Vaccine exemption rates | Vaccination rates | Parents seeking exemptions,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: There has been a rise in the rate of parents seeking vaccine exemptions for their children, coinciding wi",independent_corroboration,independent_corroboration,vaccine exemptions | vaccination rates | parents seeking exemptions,,,true
CF1-F03,2,Profile J,model,completed,,The chronic illness rate in U.S. children increased from 12.8% in the 1980s to 54% by 2011.,pillar,endorsed,U.S. health statistics,high,national,Chronic Illness Rates,U0086 | U0087,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0087] More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes or obesity, a neurodevelopmental disorder, or a mood or behavioral disorder.",substantive,The chronic illness rate in U.S. children increased from 12.8% in the 1980s to 54% by 2011.,"The chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011.",The accuracy of the chronic illness statistics is contested.,Health surveys confirming the chronic illness rates in U.S. children over the specified time period.,Data showing that chronic illness rates did not increase as claimed.,Evidence indicating that the increase in chronic illness rates is due to factors other than vaccination.,Chronic illness rates | U.S. children | 1980s to 2011,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The chronic illness rate in U.S. children increased from 12.8% in the 1980s to 54% by 2011.",independent_corroboration,independent_corroboration,chronic illness rates | U.S. children health statistics | 1980s to 2011,,,true
CF1-F03,2,Profile J,model,completed,,The U.S. had twice as many first-day infant deaths as all 27 EU nations combined after implementing aggressive vaccination programs.,pillar,endorsed,U.S. health statistics,high,international,Infant Mortality Rates,U0089 | U0090,"[U0089] During my childhood we had one of the best infant mortality rates in the world.
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",substantive,The U.S. had twice as many first-day infant deaths as all 27 EU nations combined after implementing aggressive vaccination programs.,The U.S. had twice as many first-day infant deaths as all 27 EU nations combined after embarking on the world’s most aggressive vaccination program.,The accuracy of the infant mortality statistics is contested.,Comparative infant mortality data from the U.S. and EU nations.,Data showing that the U.S. does not have higher infant mortality rates than the EU.,Evidence indicating that the infant mortality rates vary significantly by region or demographic.,Infant mortality rates | U.S. and EU comparison | first-day infant deaths,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The U.S. had twice as many first-day infant deaths as all 27 EU nations combined after implementing aggre",independent_corroboration,independent_corroboration,infant mortality rates | U.S. EU comparison | first-day infant deaths,,,true
CF1-F03,2,Profile J,model,completed,,An analysis of VAERS data showed that 78.3% of deaths reported occurred within seven days post-vaccination.,pillar,endorsed,VAERS analysis,high,national,Vaccine Adverse Events,U0208 | U0210,"[U0208] Miller analyzed 2,605 deaths reported to the Vaccine Adverse Events Reporting System (VAERS) between 1990 and 2019.
[U0210] A full 78.3 percent occurred within seven days post-vaccination.",substantive,An analysis of VAERS data showed that 78.3% of deaths reported occurred within seven days post-vaccination.,"Miller analyzed 2,605 deaths reported to the Vaccine Adverse Events Reporting System (VAERS) between 1990 and 2019.",The accuracy of the VAERS data analysis is contested.,VAERS data confirming the percentage of deaths occurring within seven days post-vaccination.,Data showing a lower percentage of deaths occurring within seven days post-vaccination.,Evidence indicating that the deaths reported may not be directly caused by vaccination.,VAERS data | deaths reported | post-vaccination,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: An analysis of VAERS data showed that 78.3% of deaths reported occurred within seven days post-vaccinatio",primary_article_result,independent_corroboration,VAERS data analysis | post-vaccination deaths | vaccination safety,,,true
CF1-F03,2,Profile J,model,completed,,A 1999 CDC study found that infants exposed to high levels of thimerosal had a 7.6 times higher risk of autism diagnosis than unexposed peers.,pillar,endorsed,CDC study,high,national,Thimerosal and Autism,U0327 | U0330 | U0344,"[U0327] In 1999 the CDC commissioned epidemiologist Dr.
[U0330] To avoid public scrutiny the June 2000 emergency meeting was not held at the CDC headquarters in Atlanta, but instead at the Simpsonwood Retreat Center in Norcross, Georgia.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",substantive,A 1999 CDC study found that infants exposed to high levels of thimerosal had a 7.6 times higher risk of autism diagnosis than unexposed peers.,"In 1999 the CDC commissioned epidemiologist Dr. to avoid public scrutiny the June 2000 emergency meeting was not held at the CDC headquarters in Atlanta, but instead at the Simpsonwood Retreat Center in Norcross, Georgia.",The accuracy of the CDC study findings is contested.,The original CDC study data confirming the risk of autism diagnosis related to thimerosal exposure.,Evidence showing that thimerosal exposure does not increase autism risk.,Reports indicating that the findings of the study have been misinterpreted or misrepresented.,CDC study | thimerosal exposure | autism diagnosis risk,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: A 1999 CDC study found that infants exposed to high levels of thimerosal had a 7.6 times higher risk of a",independent_corroboration,independent_corroboration,CDC thimerosal study | autism diagnosis | thimerosal exposure risk,,,true
CF1-F03,2,Profile J,model,completed,,"Aluminum in vaccines is known to cause brain damage at all doses and has been linked to autism, SIDS, and other neurological issues.",pillar,endorsed,scientific literature,high,national,Toxicity of Vaccine Ingredients,U0255,"[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",substantive,"Aluminum in vaccines is known to cause brain damage at all doses and has been linked to autism, SIDS, and other neurological issues.","Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer.",The causal relationship between aluminum in vaccines and health issues is contested.,Research studies confirming the link between aluminum in vaccines and neurological issues.,Evidence showing no significant health risks associated with aluminum in vaccines.,Reports indicating that the health risks are dose-dependent or vary by individual.,aluminum in vaccines | brain damage | neurological issues,Sources that merely repeat the article's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Aluminum in vaccines is known to cause brain damage at all doses and has been linked to autism, SIDS, and",independent_corroboration,independent_corroboration,aluminum toxicity | vaccines | neurological health risks,,,true
CF1-F03,3,Profile J,,failed,schema_invalid:semantic_inventory_verification,(no inventory — CF1_AGENT_SEMANTIC_INVALID: Pillar labels must be unique),,,,,,,,,,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",thesis,endorsed,CDC,high,national,Public Health Claims,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"SIDS became the leading cause of post-neonatal mortality in the U.S. by 1972, coinciding with the introduction of mass vaccination programs.",pillar,endorsed,Neil Z. Miller,high,historical,SIDS and Vaccination,U0187 | U0191 | U0198,"[U0187] “Prior to the introduction of organized vaccination programs, ‘crib death’ was so rare that it was not mentioned in infant mortality statistics… By 1972, SIDS had become the leading cause of post-neonatal mortality (infant deaths occurring between 28 days and 1 year of life) in the United States.”
[U0191] The death of any child is tragic.
[U0198] As Neil Z.",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,A 2005 study found that infants exposed to high levels of thimerosal during their first month of life had a 7.6 times higher risk of autism diagnosis than unexposed peers.,pillar,endorsed,CDC study,high,specific study,Thimerosal and Autism,U0329,[U0329] The findings were so alarming—infants exposed to high levels of thimerosal during their first month of life had 7.6 times higher risk of autism diagnosis than their unexposed peers—that a secret emergency meeting was convened.,,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"The chronic illness rate in U.S. children increased from negligible levels in the 1980s to 54% by 2011, correlating with the expansion of the vaccination schedule.",pillar,endorsed,author's analysis,high,historical,Chronic Illness Rates,U0086,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,An analysis of deaths reported to the Vaccine Adverse Events Reporting System (VAERS) showed that 17% of deaths occurred on the day of vaccination and 78.3% within seven days post-vaccination.,pillar,endorsed,VAERS analysis,high,VAERS data,Vaccine Adverse Events Reporting System,U0208 | U0210,"[U0208] Miller analyzed 2,605 deaths reported to the Vaccine Adverse Events Reporting System (VAERS) between 1990 and 2019.
[U0210] A full 78.3 percent occurred within seven days post-vaccination.",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"Aluminum in vaccines is linked to various health issues, including brain damage, and is injected directly into the bloodstream, bypassing natural defenses.",pillar,endorsed,author's analysis,high,general,Aluminum Toxicity,U0245 | U0250 | U0255,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0250] Injecting aluminum through a vaccination bypasses these protections, placing it directly into the bloodstream.
[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"Efforts to screen the documentary Vaxxed were met with significant community censorship, reflecting a broader trend of suppressing dissenting views on vaccines.",pillar,endorsed,author's observation,high,local,Censorship of Vaccine Information,U0055 | U0062,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.",,,,,,,,,,,,,,,,false
CF1-F03,4,Profile J,model,failed,verification_failed:host_selection,"More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes, or obesity.",pillar,endorsed,2011 survey,high,national survey,Chronic Illness Rates,U0087,"[U0087] More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes or obesity, a neurodevelopmental disorder, or a mood or behavioral disorder.",,,,,,,,,,,,,,,,false
CF1-F03,5,Profile J,,failed,schema_invalid:semantic_inventory_verification,(no inventory — CF1_AGENT_SEMANTIC_INVALID: Pillar labels must be unique),,,,,,,,,,,,,,,,,,,,,,,,false
CF1-F03,1,Profile V,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar_support,reported,CDC,high,American school children and toddlers,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",The dispute concerns the accuracy of the vaccination statistics reported by the CDC.,Independent studies corroborate the CDC's vaccination statistics for American school children and toddlers.,Independent studies show a higher percentage of vaccinated American school children and toddlers than reported by the CDC.,Statistics indicate a lower percentage of unvaccinated children in specific regions or demographics.,Access to CDC vaccination data or independent vaccination surveys for American school children and toddlers.,Evidence that merely repeats the CDC's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely u",independent_corroboration,independent_corroboration,CDC vaccination statistics | American school children vaccination rates | toddler vaccination rates,,,true
CF1-F03,1,Profile V,model,completed,,The CDC's 2000 meeting to discuss thimerosal and autism was held in secret to avoid public scrutiny.,pillar_support,reported,CDC meeting minutes,high,CDC meeting on thimerosal,Censorship and suppression of vaccine criticism.,U0330,"[U0330] To avoid public scrutiny the June 2000 emergency meeting was not held at the CDC headquarters in Atlanta, but instead at the Simpsonwood Retreat Center in Norcross, Georgia.",substantive,The CDC's 2000 meeting to discuss thimerosal and autism was held in secret to avoid public scrutiny.,The CDC's 2000 meeting to discuss thimerosal and autism was held in secret to avoid public scrutiny.,The dispute concerns whether the meeting was indeed held in secret and the reasons for it.,Official records or credible reports confirm the meeting was held at a location to avoid public scrutiny.,Official records or credible reports indicate the meeting was publicly accessible or not secretive.,Evidence suggests the meeting was private but not necessarily secretive or intended to avoid scrutiny.,Access to meeting minutes or records from the CDC regarding the 2000 meeting on thimerosal.,Evidence that merely states the meeting occurred without addressing its secrecy.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The CDC's 2000 meeting to discuss thimerosal and autism was held in secret to avoid public scrutiny.",official_record,official_record,CDC thimerosal autism meeting | secret meeting CDC 2000 | public scrutiny thimerosal meeting,,,true
