publisher_name,source,bias_score,veracity_score,score,topic,topic_id,last_checked,notes,url
WHO,AllSides,-3.91,2.63,1.6,vaccines,2401,2025-04-01 08:58:43,AllSides rates Autoimmunity Reviews as left-leaning on vaccines,https://allsides.example.com/ratings/Autoimmunity_Reviews
X (formerly Twitter),AllSides,4.71,0.9,0.48,media literacy,2409,2025-04-01 08:58:43,AllSides rates Autoimmunity Reviews as right-leaning on media literacy,https://allsides.example.com/ratings/Autoimmunity_Reviews
Science-Based Medicine,AllSides,-0.74,2.65,2.45,health freedom,2410,2025-04-01 08:58:43,AllSides rates Autoimmunity Reviews as left-leaning on health freedom,https://allsides.example.com/ratings/Autoimmunity_Reviews
Science direct,MBFC,-3.01,6.28,4.39,alternative medicine,2405,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on alternative medicine,https://mbfc.example.com/ratings/Autoimmunity_Reviews
The BMJ,MBFC,-7.75,0.15,0.03,commerce,2408,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on commerce,https://mbfc.example.com/ratings/Autoimmunity_Reviews
The Economist,MBFC,-2.46,2.87,2.16,economics,2407,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on economics,https://mbfc.example.com/ratings/Autoimmunity_Reviews
The New York Times,MBFC,-6.69,3.22,1.07,evidence based medicine,2404,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on evidence based medicine,https://mbfc.example.com/ratings/Autoimmunity_Reviews
The Salt Lake Tribune,MBFC,-0.15,8.34,8.21,political,2402,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on political,https://mbfc.example.com/ratings/Autoimmunity_Reviews
The Washington Post,MBFC,2.5,4.5,3.38,science,2403,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as right-leaning on science,https://mbfc.example.com/ratings/Autoimmunity_Reviews
U.S. Food and Drug Administration,MBFC,-5.91,1.05,0.43,vaccines,2401,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as left-leaning on vaccines,https://mbfc.example.com/ratings/Autoimmunity_Reviews
Ultrasound in medicine & biology,MBFC,0.74,4.23,3.92,media literacy,2409,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as right-leaning on media literacy,https://mbfc.example.com/ratings/Autoimmunity_Reviews
Unknown Publisher,MBFC,3.87,4.65,2.85,health freedom,2410,2025-04-01 08:58:43,MBFC rates Autoimmunity Reviews as right-leaning on health freedom,https://mbfc.example.com/ratings/Autoimmunity_Reviews
Utah News Dispatch,AdFontesMedia,-7.63,6.25,1.48,alternative medicine,2405,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as left-leaning on alternative medicine,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Utah gov,AdFontesMedia,0.87,7.3,6.66,commerce,2408,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as right-leaning on commerce,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Vaccine,AdFontesMedia,3.06,8.26,5.73,economics,2407,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as right-leaning on economics,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Vaccine Safety,AdFontesMedia,-2.08,8.11,6.42,evidence based medicine,2404,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as left-leaning on evidence based medicine,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Washington Post,AdFontesMedia,0.72,2.59,2.4,political,2402,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as right-leaning on political,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Whats app,AdFontesMedia,-7.94,0.87,0.18,science,2403,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as left-leaning on science,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
WHO,AdFontesMedia,2.1,1.32,1.04,vaccines,2401,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as right-leaning on vaccines,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
X (formerly Twitter),AdFontesMedia,-2.17,0.16,0.13,media literacy,2409,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as left-leaning on media literacy,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Science-Based Medicine,AdFontesMedia,7.98,6.31,1.27,health freedom,2410,2025-04-01 08:58:43,AdFontesMedia rates Autoimmunity Reviews as right-leaning on health freedom,https://adfontesmedia.example.com/ratings/Autoimmunity_Reviews
Science direct,Scimago,-0.3,4.25,4.12,alternative medicine,2405,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as left-leaning on alternative medicine,https://scimago.example.com/ratings/bloomberglaw.com
The BMJ,Scimago,7.44,2.72,0.7,commerce,2408,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as right-leaning on commerce,https://scimago.example.com/ratings/bloomberglaw.com
The Economist,Scimago,6.92,0.67,0.21,economics,2407,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as right-leaning on economics,https://scimago.example.com/ratings/bloomberglaw.com
The New York Times,Scimago,3.79,7.56,4.69,evidence based medicine,2404,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as right-leaning on evidence based medicine,https://scimago.example.com/ratings/bloomberglaw.com
The Salt Lake Tribune,Scimago,1.94,2.55,2.06,political,2402,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as right-leaning on political,https://scimago.example.com/ratings/bloomberglaw.com
The Washington Post,Scimago,-4.38,5.12,2.88,science,2403,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as left-leaning on science,https://scimago.example.com/ratings/bloomberglaw.com
U.S. Food and Drug Administration,Scimago,-3.91,4.69,2.86,vaccines,2401,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as left-leaning on vaccines,https://scimago.example.com/ratings/bloomberglaw.com
Ultrasound in medicine & biology,Scimago,-7.05,2.94,0.87,media literacy,2409,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as left-leaning on media literacy,https://scimago.example.com/ratings/bloomberglaw.com
Unknown Publisher,Scimago,-0.59,3.81,3.59,health freedom,2410,2025-04-01 08:58:43,Scimago rates bloomberglaw.com as left-leaning on health freedom,https://scimago.example.com/ratings/bloomberglaw.com
Utah News Dispatch,AllSides,1.99,2.57,2.06,alternative medicine,2405,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as right-leaning on alternative medicine,https://allsides.example.com/ratings/bloomberglaw.com
Utah gov,AllSides,2.95,5.2,3.67,commerce,2408,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as right-leaning on commerce,https://allsides.example.com/ratings/bloomberglaw.com
Vaccine,AllSides,-3.15,7.83,5.36,economics,2407,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as left-leaning on economics,https://allsides.example.com/ratings/bloomberglaw.com
Vaccine Safety,AllSides,-7.26,4.71,1.29,evidence based medicine,2404,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as left-leaning on evidence based medicine,https://allsides.example.com/ratings/bloomberglaw.com
Washington Post,AllSides,7.01,8.87,2.65,political,2402,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as right-leaning on political,https://allsides.example.com/ratings/bloomberglaw.com
Whats app,AllSides,4.82,1.78,0.92,science,2403,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as right-leaning on science,https://allsides.example.com/ratings/bloomberglaw.com
WHO,AllSides,-7.41,3.4,0.88,vaccines,2401,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as left-leaning on vaccines,https://allsides.example.com/ratings/bloomberglaw.com
X (formerly Twitter),AllSides,9.12,5.56,0.49,media literacy,2409,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as right-leaning on media literacy,https://allsides.example.com/ratings/bloomberglaw.com
Science-Based Medicine,AllSides,-1.75,3.13,2.58,health freedom,2410,2025-04-01 08:58:43,AllSides rates bloomberglaw.com as left-leaning on health freedom,https://allsides.example.com/ratings/bloomberglaw.com
Science direct,MBFC,-9.3,4.26,0.3,alternative medicine,2405,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as left-leaning on alternative medicine,https://mbfc.example.com/ratings/bloomberglaw.com
The BMJ,MBFC,-6.3,0.5,0.18,commerce,2408,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as left-leaning on commerce,https://mbfc.example.com/ratings/bloomberglaw.com
The Economist,MBFC,2.89,5.62,4.0,economics,2407,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as right-leaning on economics,https://mbfc.example.com/ratings/bloomberglaw.com
The New York Times,MBFC,-7.23,1.61,0.45,evidence based medicine,2404,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as left-leaning on evidence based medicine,https://mbfc.example.com/ratings/bloomberglaw.com
The Salt Lake Tribune,MBFC,8.86,9.79,1.12,political,2402,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as right-leaning on political,https://mbfc.example.com/ratings/bloomberglaw.com
The Washington Post,MBFC,8.11,1.0,0.19,science,2403,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as right-leaning on science,https://mbfc.example.com/ratings/bloomberglaw.com
U.S. Food and Drug Administration,MBFC,4.37,1.62,0.91,vaccines,2401,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as right-leaning on vaccines,https://mbfc.example.com/ratings/bloomberglaw.com
Ultrasound in medicine & biology,MBFC,3.12,7.06,4.86,media literacy,2409,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as right-leaning on media literacy,https://mbfc.example.com/ratings/bloomberglaw.com
Unknown Publisher,MBFC,-5.6,1.67,0.73,health freedom,2410,2025-04-01 08:58:43,MBFC rates bloomberglaw.com as left-leaning on health freedom,https://mbfc.example.com/ratings/bloomberglaw.com
Utah News Dispatch,AdFontesMedia,7.25,6.29,1.73,alternative medicine,2405,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on alternative medicine,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Utah gov,AdFontesMedia,9.4,9.7,0.58,commerce,2408,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on commerce,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Vaccine,AdFontesMedia,1.67,3.84,3.2,economics,2407,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on economics,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Vaccine Safety,AdFontesMedia,5.76,8.84,3.75,evidence based medicine,2404,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on evidence based medicine,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Washington Post,AdFontesMedia,-5.78,6.64,2.8,political,2402,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as left-leaning on political,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Whats app,AdFontesMedia,-9.77,9.76,0.22,science,2403,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as left-leaning on science,https://adfontesmedia.example.com/ratings/bloomberglaw.com
WHO,AdFontesMedia,5.66,8.67,3.76,vaccines,2401,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on vaccines,https://adfontesmedia.example.com/ratings/bloomberglaw.com
X (formerly Twitter),AdFontesMedia,6.36,4.25,1.55,media literacy,2409,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on media literacy,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Science-Based Medicine,AdFontesMedia,0.47,9.53,9.08,health freedom,2410,2025-04-01 08:58:43,AdFontesMedia rates bloomberglaw.com as right-leaning on health freedom,https://adfontesmedia.example.com/ratings/bloomberglaw.com
Science direct,Scimago,-4.47,9.15,5.06,alternative medicine,2405,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on alternative medicine,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
The BMJ,Scimago,-1.65,0.66,0.55,commerce,2408,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on commerce,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
The Economist,Scimago,2.59,7.84,5.81,economics,2407,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as right-leaning on economics,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
The New York Times,Scimago,-4.87,5.96,3.06,evidence based medicine,2404,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on evidence based medicine,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
The Salt Lake Tribune,Scimago,-8.29,5.04,0.86,political,2402,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on political,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
The Washington Post,Scimago,-5.96,8.52,3.44,science,2403,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on science,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
U.S. Food and Drug Administration,Scimago,-4.56,0.79,0.43,vaccines,2401,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on vaccines,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
Ultrasound in medicine & biology,Scimago,5.53,7.25,3.24,media literacy,2409,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as right-leaning on media literacy,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
Unknown Publisher,Scimago,-0.74,7.39,6.84,health freedom,2410,2025-04-01 08:58:43,Scimago rates Center for Science in the Public Interest as left-leaning on health freedom,https://scimago.example.com/ratings/Center_for_Science_in_the_Public_Interest
Utah News Dispatch,AllSides,6.31,7.31,2.7,alternative medicine,2405,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on alternative medicine,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Utah gov,AllSides,3.93,3.13,1.9,commerce,2408,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on commerce,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Vaccine,AllSides,7.63,5.94,1.41,economics,2407,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on economics,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Vaccine Safety,AllSides,-2.5,3.45,2.59,evidence based medicine,2404,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as left-leaning on evidence based medicine,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Washington Post,AllSides,9.2,5.86,0.47,political,2402,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on political,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Whats app,AllSides,8.66,4.17,0.56,science,2403,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on science,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
WHO,AllSides,8.96,7.65,0.8,vaccines,2401,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on vaccines,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
X (formerly Twitter),AllSides,9.38,2.5,0.15,media literacy,2409,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as right-leaning on media literacy,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Science-Based Medicine,AllSides,-4.7,6.54,3.47,health freedom,2410,2025-04-01 08:58:43,AllSides rates Center for Science in the Public Interest as left-leaning on health freedom,https://allsides.example.com/ratings/Center_for_Science_in_the_Public_Interest
Science direct,MBFC,-8.8,8.8,1.06,alternative medicine,2405,2025-04-01 08:58:43,MBFC rates Center for Science in the Public Interest as left-leaning on alternative medicine,https://mbfc.example.com/ratings/Center_for_Science_in_the_Public_Interest
