fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,warrant,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,1,Set C,model,completed,,The CDC manipulated data linking the MMR vaccine to autism and ordered the destruction of evidence.,pillar,endorsed,"William Thompson, CDC whistleblower",high,CDC's actions regarding the MMR vaccine and autism link.,Public health authorities manipulate data regarding vaccine safety. | Vaccines contain harmful substances that pose risks to children.,U0037 | U0038 | U0040 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0038] When top CDC officials learned that their 2004 study results showed a dramatic increase in autism after MMR vaccinations, they’d ordered Thompson and other scientists to destroy all evidence.
[U0040] Ultimately, the only way they could eliminate the evident risk was to eliminate from the study the groups of children most likely to regress into autism following their shot.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,"Vaccines contain toxic substances like aluminum and thimerosal, which are harmful to children's health.",pillar,endorsed,Various studies and expert opinions,high,Toxic substances present in childhood vaccines.,Vaccines contain harmful substances that pose risks to children.,U0245 | U0301 | U0308,"[U0245] Folks SHOULD be nervous about aluminum being used in vaccines.
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,The rate of chronic health conditions among children has increased significantly since the introduction of aggressive vaccination schedules.,pillar,endorsed,Statistical health data,high,Chronic health conditions in U.S. children since 1986.,Vaccine injury and chronic health issues are rising among children.,U0086 | U0087,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0087] More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes or obesity, a neurodevelopmental disorder, or a mood or behavioral disorder.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,"Efforts to suppress information about vaccine risks and injuries are widespread, including censorship of public discussions.",pillar,endorsed,Local community experiences,high,Censorship incidents related to vaccine discussions in Jefferson County.,Censorship and suppression of vaccine-related information is prevalent.,U0055 | U0062 | U0155,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0155] The reason: correlation does not imply causation.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,Parents who choose not to vaccinate their children are often highly educated and scientifically literate.,pillar_support,reported,"Emily Brunson, PhD",medium,Demographics of vaccine-hesitant parents in the U.S.,Public health authorities manipulate data regarding vaccine safety.,U0021,"[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,"The CDC announced that no more research money would be spent on the question of vaccines causing autism, claiming 'the science is settled.'",pillar_support,reported,CDC announcement,medium,CDC's funding decisions regarding vaccine-autism research.,Public health authorities manipulate data regarding vaccine safety.,U0046,[U0046] The CDC announced: No more research money will be spent on this question; “the science is settled.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,The childhood vaccination schedule has expanded from 5 doses in the 1960s to 73 doses by 2016.,pillar_support,endorsed,Historical vaccination data,medium,Changes in the U.S. childhood vaccination schedule over time.,Vaccine injury and chronic health issues are rising among children.,U0079 | U0080,"[U0079] While children had received just five vaccine doses in three shots in the 1950s and ’60s when I was growing up (none during pregnancy or in the first 12 months of life), by 1986 children were receiving 25 doses/12 shots.
[U0080] In the decades following the 1986 act the childhood schedule exploded to 73 doses/54 shots.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. after mass vaccination programs were introduced.,pillar_support,endorsed,Neil Z. Miller,medium,SIDS rates in relation to vaccination programs in the U.S.,Vaccines contain harmful substances that pose risks to children.,U0187 | U0193,"[U0187] “Prior to the introduction of organized vaccination programs, ‘crib death’ was so rare that it was not mentioned in infant mortality statistics… By 1972, SIDS had become the leading cause of post-neonatal mortality (infant deaths occurring between 28 days and 1 year of life) in the United States.”
[U0193] It was not until mass vaccination that the term SIDS — Sudden Infant Death Syndrome — even existed.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,"Thimerosal, a mercury-based preservative used in vaccines, is neurotoxic and has been linked to developmental issues.",pillar_support,endorsed,Material Safety Data Sheet for thimerosal,medium,Health effects of thimerosal in vaccines.,Vaccines contain harmful substances that pose risks to children.,U0301 | U0310,"[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set C,model,completed,,The CDC's claim that ethylmercury in vaccines is harmless is contradicted by evidence showing it is neurotoxic.,pillar_support,rejected,Various studies,medium,Safety claims regarding ethylmercury in vaccines.,Vaccines contain harmful substances that pose risks to children.,U0301 | U0310,"[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Parents who choose not to vaccinate their children are typically highly educated and scientifically literate.,pillar_support,endorsed,Aaron Siri,high,Parents who choose not to vaccinate their children in the U.S.,Pillar 1: Vaccine Safety Concerns,U0002 | U0021,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”
[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The CDC manipulated data to disprove a link between the MMR vaccine and autism.,pillar_support,endorsed,William Thompson,high,CDC's actions regarding the MMR vaccine study.,Pillar 2: Censorship and Information Suppression,U0037 | U0041 | U0042,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0042] Believing the order to destroy data was illegal, Thompson secretly saved over 10,000 pages of documents.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers for vaccine-related injuries.,pillar_support,endorsed,Article voice,high,U.S. legislation affecting vaccine manufacturers' liability.,Pillar 3: Historical Context of Vaccine Legislation,U0068 | U0070 | U0071,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.
[U0071] This get-out-of-jail-free card, eliminating industry responsibility for safety, was unprecedented.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,There is a significant increase in chronic health conditions among vaccinated children compared to those who are unvaccinated.,pillar_support,endorsed,Article voice,high,Chronic health conditions in U.S. children post-vaccination.,Pillar 4: Correlation Between Vaccination and Health Issues,U0086 | U0087 | U0090 | U0091,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0087] More than one in two American children in the 2011 survey had a diagnosed chronic health condition such as an autoimmune disorder, diabetes or obesity, a neurodevelopmental disorder, or a mood or behavioral disorder.
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .
[U0091] An analysis of two decades of U.S. data (1990-2010) showed that infants who received the most vaccines had the worst hospitalization and death rates.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,"The CDC has declared that the science on vaccine safety is settled, despite ongoing concerns and evidence to the contrary.",opponent_claim,opponent_to_rebut,Article voice,medium,CDC's stance on vaccine safety.,Pillar 2: Censorship and Information Suppression,U0046,[U0046] The CDC announced: No more research money will be spent on this question; “the science is settled.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The rise in vaccine exemptions correlates with increased public awareness of vaccine safety concerns.,pillar_support,endorsed,Article voice,medium,Trends in vaccine exemptions in the U.S.,Pillar 4: Correlation Between Vaccination and Health Issues,U0014,"[U0014] Along with reduction in vaccine uptake, there is also a rise in the rate of parents seeking vaccine exemptions for their children.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Censorship of vaccine-related information is prevalent in media and public health communications.,pillar_support,endorsed,Article voice,high,Censorship practices in media regarding vaccine discussions.,Pillar 2: Censorship and Information Suppression,U0055 | U0062 | U0154 | U0160,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.
[U0154] “Unfortunately, we will not be able to print or insert your flyer in our newspaper.
[U0160] Stephen Schumacher (also a PTFP co-editor now) would experience the same censorship several years later regarding the experimental mRNA Covid vaccines.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,Aluminum in vaccines poses a significant health risk to children.,pillar_support,endorsed,James Lyons-Weiler and Robert Ricketson,high,Health risks associated with aluminum in vaccines.,Pillar 1: Vaccine Safety Concerns,U0242 | U0250 | U0255,"[U0242] “Our calculations show that the levels of aluminum suggested by the currently used limits place infants at risk of acute, repeated, and possibly chronic exposures of toxic levels of aluminum in modern vaccine schedules.”
[U0250] Injecting aluminum through a vaccination bypasses these protections, placing it directly into the bloodstream.
[U0255] Aluminum poisoning has been linked to autism, SIDs, seizures, autoimmune issues, Alzheimers, neurological damage, impaired renal function, demyelinating disorders such as MS, and cancer. [ source ]",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,"Thimerosal, a mercury-based preservative, is neurotoxic and poses risks to children.",pillar_support,endorsed,Gavin de Becker,high,Health risks associated with thimerosal in vaccines.,Pillar 1: Vaccine Safety Concerns,U0301 | U0310 | U0318,"[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.
[U0318] Injected ethylmercury has been shown to deposit in the brain and other organs far more readily than the much-publicized methylmercury in fish, which pregnant women are warned to avoid.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The CDC's claims about the safety of vaccines are based on manipulated data and lack transparency.,opponent_claim,opponent_to_rebut,William Thompson,high,CDC's data handling and transparency regarding vaccine safety.,Pillar 2: Censorship and Information Suppression,U0041 | U0344,"[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0344] Instead the CDC “massaged” the data and in 2003 released a reworked, fraudulent version of the study loudly trumpeting that thimerosal did not cause autism and other neurodevelomental problems.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set D,model,completed,,The narrative that vaccines are a modern medical miracle is a belief system rather than a scientifically proven fact.,pillar_support,endorsed,Aaron Siri,medium,Cultural beliefs surrounding vaccines in the U.S.,Pillar 1: Vaccine Safety Concerns,U0023 | U0024,"[U0023] • The “Vaccines Amen” crowd. For these believers , the story that vaccines are a modern medical miracle — safe and effective! — is a sacred cow. “This is the group of parents, doctors and public health professionals—a small army of them—who have a fervent belief in vaccines,” says Siri. “When these beliefs are challenged, this crowd gets angry.”
[U0024] Unable to “accept even official government data showing that many of their core beliefs regarding vaccines are false,” these zealots are incurious and entrenched.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,"The 1986 National Childhood Vaccine Injury Act removed liability from vaccine manufacturers, leading to a lack of accountability for vaccine-related injuries.",pillar,endorsed,article_voice,high,1986 act and its implications for vaccine safety and accountability,Historical Context of Vaccine Legislation,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,"The safety of vaccines is compromised by the presence of toxic substances such as aluminum and mercury, which can cause serious health issues.",pillar,endorsed,article_voice,high,toxicity of vaccine ingredients and their health implications,Vaccine Safety Concerns,U0241 | U0300,"[U0241] THE FACTS / ALUMINUM:
[U0300] THE FACTS / MERCURY:",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,Claims that vaccines are tested more rigorously than other medications are misleading and do not reflect the reality of vaccine safety testing.,pillar,endorsed,article_voice,high,comparison of vaccine testing to other medications,Vaccine Efficacy,U0401,[U0401] Is it true that “vaccines are tested more than any other medicine you could give your kid” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,The increase in childhood chronic illnesses correlates with the expansion of the vaccination schedule since the 1986 act.,pillar,endorsed,article_voice,high,correlation between vaccination rates and chronic illness prevalence,Rising Chronic Illness Rates,U0086 | U0090,"[U0086] It was a rude awakening, especially for those of us in the Baby Boomer generation, to learn that the chronic illness rate in U.S. children which had been negligible when we were kids had jumped to 12.8% in the 1980s, then to 54% by 2011 .
[U0090] But after embarking on the world’s most aggressive vaccination program, the U.S. had twice as many first-day infant deaths as all 27 EU nations combined .",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,"Efforts to suppress information regarding vaccine risks and injuries are prevalent, as seen in community responses to screenings of films like Vaxxed.",pillar,endorsed,article_voice,high,community censorship of vaccine-related information,Censorship and Information Suppression,U0055 | U0062,"[U0055] Within 24 hours of the film being announced, the screening which had been planned over months was canceled.
[U0062] Self-appointed community gatekeeper Owen Rowe demonstrated the epitome of the angry zealotry that Siri describes.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,The type of mercury in vaccines – ethylmercury – is NOT harmful to us.,opponent_claim,rejected,article_voice,high,safety of ethylmercury in vaccines,,U0297,"[U0297] [2] MERCURY
The type of mercury in vaccines – ethylmercury – is NOT harmful to us.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,There have been no credible studies that link vaccination to chronic disease.,opponent_claim,rejected,article_voice,high,link between vaccination and chronic diseases,,U0400,[U0400] Are there “no credible studies that link vaccination to chronic disease” ?,,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,Our kids face more challenges to their immune system while playing outside than they do from vaccines.,opponent_claim,rejected,article_voice,high,comparison of immune challenges from vaccines and environmental exposure,,U0008,[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”,,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,Vaccines are safe and effective as claimed by public health authorities.,opponent_claim,rejected,article_voice,high,public health claims about vaccine safety,,U0027,"[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.",,,,,,,,,,,,,,,,,
CF1-F03,1,Set F,model,completed,,The CDC's manipulation of data regarding vaccine safety has been documented by whistleblowers.,qualification,endorsed,article_voice,high,whistleblower accounts of data manipulation,,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",,,,,,,,,,,,,,,,,
